ResponseId,subjCode,image,response
R_b3LtdMFDJdMIjCh,ACR_106,pt24.05_low,Ghost
R_3fT9YmiNF4bKXZC,ACR_105,pt24.05_low,person
R_en9MmlCudouz9lf,ACR_104,pt24.05_low,knife
R_27p1rDbHJTjWqLZ,ACR_107,pt24.05_low,hand reaching out
R_296T9dQwUPtygMf,ACR_109,pt24.05_low,bird
R_eDp14zKnkltbTO1,ACR_108a,pt24.05_low,Herbivore
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.05_low,Skinny Boot
R_1AAPVURdFtzt7QR,ACR_111,pt24.05_low,person
R_2usPkgUicDIzl1e,ACR_112,pt24.05_low,bird wing
R_b1QNN1ekMX4YMDv,ACR_113,pt24.05_low,regular fish
R_31oMaUn7KvP14q6,ACR_114,pt24.05_low,block
R_ClxqnB5NvxdnV0R,ACR_115,pt24.05_low,person with book
R_2EbBt6YqNJxKt6e,ACR_116,pt24.05_low,book
R_C7B380GVO4KfZqF,ACR_118,pt24.05_low,Angel
R_2CyA3ciJlZWk8dz,ACR_117,pt24.05_low,Plane
R_7QUwSE3UvwRMy0V,ACR_119,pt24.05_low,jagged
R_3nN8PaGxmzbCKm2,ACR_120,pt24.05_low,goose
R_d3S712aZ3VjSYMx,ACR_121,pt24.05_low,person on laptop
R_2qxgnKk6e8mf1IP,ACR_122,pt24.05_low,artillery
R_1BUTkle1Id7znPU,ACR_101,pt24.06_low,Finger
R_2pMfrw61yOmw0AZ,ACR_102,pt24.06_low,tower
R_3G8JvHCnfY4EN4l,ACR_103,pt24.06_low,Finger pointing
R_b3LtdMFDJdMIjCh,ACR_106,pt24.06_low,Pointer Finger
R_3fT9YmiNF4bKXZC,ACR_105,pt24.06_low,pointing finger
R_en9MmlCudouz9lf,ACR_104,pt24.06_low,foreign symbol
R_27p1rDbHJTjWqLZ,ACR_107,pt24.06_low,finger pointing
R_296T9dQwUPtygMf,ACR_109,pt24.06_low,snake
R_eDp14zKnkltbTO1,ACR_108a,pt24.06_low,Pointer
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.06_low,Pointer Hand
R_1AAPVURdFtzt7QR,ACR_111,pt24.06_low,giraffe
R_2usPkgUicDIzl1e,ACR_112,pt24.06_low,animal
R_b1QNN1ekMX4YMDv,ACR_113,pt24.06_low,sitting man
R_31oMaUn7KvP14q6,ACR_114,pt24.06_low,head
R_ClxqnB5NvxdnV0R,ACR_115,pt24.06_low,W or E
R_2EbBt6YqNJxKt6e,ACR_116,pt24.06_low,angle
R_C7B380GVO4KfZqF,ACR_118,pt24.06_low,Snake
R_2CyA3ciJlZWk8dz,ACR_117,pt24.06_low,Finger pointing
R_7QUwSE3UvwRMy0V,ACR_119,pt24.06_low,hat
R_3nN8PaGxmzbCKm2,ACR_120,pt24.06_low,pokemon
R_d3S712aZ3VjSYMx,ACR_121,pt24.06_low,toilet
R_2qxgnKk6e8mf1IP,ACR_122,pt24.06_low,alien
R_1BUTkle1Id7znPU,ACR_101,pt24.07_low,Lightning
R_2pMfrw61yOmw0AZ,ACR_102,pt24.07_low,snake
R_3G8JvHCnfY4EN4l,ACR_103,pt24.07_low,
R_b3LtdMFDJdMIjCh,ACR_106,pt24.07_low,Lugia
R_3fT9YmiNF4bKXZC,ACR_105,pt24.07_low,waves
R_en9MmlCudouz9lf,ACR_104,pt24.07_low,face
R_27p1rDbHJTjWqLZ,ACR_107,pt24.07_low,no name
R_296T9dQwUPtygMf,ACR_109,pt24.07_low,Face
R_eDp14zKnkltbTO1,ACR_108a,pt24.07_low,Lightning
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.07_low,Sigma
R_1AAPVURdFtzt7QR,ACR_111,pt24.07_low,crab
R_2usPkgUicDIzl1e,ACR_112,pt24.07_low,glass
R_b1QNN1ekMX4YMDv,ACR_113,pt24.07_low,oragami
R_31oMaUn7KvP14q6,ACR_114,pt24.07_low,rock
R_ClxqnB5NvxdnV0R,ACR_115,pt24.07_low,upside down crown
R_2EbBt6YqNJxKt6e,ACR_116,pt24.07_low,croc
R_C7B380GVO4KfZqF,ACR_118,pt24.07_low,Scorpion
R_2CyA3ciJlZWk8dz,ACR_117,pt24.07_low,Bird's wing
R_7QUwSE3UvwRMy0V,ACR_119,pt24.07_low,spacecraft
R_3nN8PaGxmzbCKm2,ACR_120,pt24.07_low,pokemon
R_d3S712aZ3VjSYMx,ACR_121,pt24.07_low,mountain
R_2qxgnKk6e8mf1IP,ACR_122,pt24.07_low,science 
R_1BUTkle1Id7znPU,ACR_101,pt24.08_low,Foot
R_2pMfrw61yOmw0AZ,ACR_102,pt24.08_low,crab
R_3G8JvHCnfY4EN4l,ACR_103,pt24.08_low,Wisconsin flipped 
R_b3LtdMFDJdMIjCh,ACR_106,pt24.08_low,Flower
R_3fT9YmiNF4bKXZC,ACR_105,pt24.08_low,shoe
R_en9MmlCudouz9lf,ACR_104,pt24.08_low,bat
R_27p1rDbHJTjWqLZ,ACR_107,pt24.08_low,high heel boot
R_296T9dQwUPtygMf,ACR_109,pt24.08_low,Finger
R_eDp14zKnkltbTO1,ACR_108a,pt24.08_low,Pokemon
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.08_low,Fat boot
R_1AAPVURdFtzt7QR,ACR_111,pt24.08_low,sting ray
R_2usPkgUicDIzl1e,ACR_112,pt24.08_low,glass
R_b1QNN1ekMX4YMDv,ACR_113,pt24.08_low,pointy fish
R_31oMaUn7KvP14q6,ACR_114,pt24.08_low,bat
R_ClxqnB5NvxdnV0R,ACR_115,pt24.08_low,W
R_2EbBt6YqNJxKt6e,ACR_116,pt24.08_low,bat
R_C7B380GVO4KfZqF,ACR_118,pt24.08_low,Bird
R_2CyA3ciJlZWk8dz,ACR_117,pt24.08_low,Hand symbol
R_7QUwSE3UvwRMy0V,ACR_119,pt24.08_low,lightning bolt
R_3nN8PaGxmzbCKm2,ACR_120,pt24.08_low,crab
R_d3S712aZ3VjSYMx,ACR_121,pt24.08_low,stingray
R_2qxgnKk6e8mf1IP,ACR_122,pt24.08_low,pelican
